team,points,year
,0.0,2018
Manchester City,100.0,2018
Manchester United,81.0,2018
Tottenham Hotspur,77.0,2018
Liverpool,75.0,2018
Chelsea,70.0,2018
Arsenal,63.0,2018
Burnley,54.0,2018
Everton,49.0,2018
Leicester City,47.0,2018
Newcastle United,44.0,2018
Crystal Palace,44.0,2018
AFC Bournemouth,44.0,2018
West Ham United,42.0,2018
Watford,41.0,2018
Brighton & Hove Albion,40.0,2018
Huddersfield Town,37.0,2018
Southampton,36.0,2018
Swansea City,33.0,2018
Stoke City,33.0,2018
West Bromwich Albion,31.0,2018
